ID,ISLAND,ALTERNATIVE_ISLAND_NAME,area_km2,elevation_m,Larger_unit,Archipelago_Group,Smaller_unit,REGION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Aotea,Great Barrier island,285,627,New Zealand,New Zealand,Northland,Polynesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Borneo,,748168.1,4175,PhBS,Indonesia,Greater Sunda Islands,Sunda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Doubtful Sound,Patea,150437,3724,New Zealand,New Zealand,Fiordland on Southland,Polynesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Great Mercury Island,Ahuahu,18.72,231,New Zealand,New Zealand,Northland,Polynesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Halmahera,"Jilolo, Gilolo, Jailolo",18039.6,1635,Moluccas,Maluku Islands,,Wallacea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Hatutaa,Hatutu,7.98,428,Remote Oceania,Marquesas,,Polynesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Honuea,,0.28,8,Remote Oceania,Society Islands,Tetiaroa atoll,Polynesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Kaikura Island,"Kaik?ura, Selwyn island",5.64,185,New Zealand,New Zealand,Northland,Polynesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Kamaka,,0.5,166,Remote Oceania,Gambier Islands,,Polynesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Kayangel,Ngcheangel,1.7,2,Micronesia,Caroline Islands,Palau,Micronesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Late Island,,4,15,Remote Oceania,Tonga Islands,,Polynesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Luzon,,109964.9,2934,PhBS,Philippines,Luzon,Wallacea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Malenge,"Malengi, Melange",13.38,178,PhBS,Togian Islands,,Wallacea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Mohotani,"Molopu, Motane, Moho Tani",12.2,520,Remote Oceania,Marquesas,,Polynesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Motukawanui,,3.4,177,New Zealand,New Zealand,Cavalli Islands,Polynesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,New Britain,,35144.6,2500,Island PNG,Bismarck Archipelago,,Melanesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,New Guinea,,785753,5030,New Guinea,New Guinea,,Melanesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Normanby Island,,1040,1100,Island PNG,New Guinea,,Melanesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Rakiura,"Stewart, Steward",1814.7,980,New Zealand,New Zealand,,Polynesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Reiono,,0.22,3,Remote Oceania,Society Islands,Tetiaroa atoll,Polynesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Rimatuu,,0.88,9,Remote Oceania,Society Islands,Tetiaroa atoll,Polynesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Slipper Island,Whakahau,2.68,103,New Zealand,New Zealand,Northland,Polynesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Sulawesi,Celebes,180680.7,3455,PhBS,Indonesia,Greater Sunda Islands,Wallacea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Tahanea,,9.5,5,Remote Oceania,Tuamotu Archipelago,,Polynesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Wake Island,"Enen-kio, ?nen-kio",7.1,6,Micronesia,US Minor Outying Islands,,Micronesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
