"Aotea","Borneo","Doubtful_Sound","Great_Mercury_Island","Halmahera","Hatutaa","Honuea","Kaikura_Island","Kamaka","Kayangel","Late_Island","Mainland","Malenge","Mohotani","Motukawanui","New_Britain","New_Guinea","Normanby_Island","Rakiura","Reiono","Rimatuu","Slipper_Island","Sulawesi","Tahanea","Wake_Island"
0,0,0.99902,0.99902,0,0,0,0,0,0,0,0.00098,0,0,0,0,0.02344,0.99902,0,0,0,0,0,0,0
0,0,0.99902,0.99902,0,0,0,0,0,0,0,0,0,0,0,0,0.02734,0.99902,0,0,0,0,0,0,0
0.99902,0.99902,0,0.99902,0.07324,0.04883,0.04883,0.03906,0.04785,0.05859,0.0459,0.13281,0.06836,0.06543,0.05273,0.09668,0.33789,0.99902,0.04102,0.03906,0.05566,0.03516,0.04004,0.03711,0.05176
0.99902,0.99902,0.99902,0,0.07617,0.04395,0.04492,0.04395,0.0459,0.07422,0.0498,0.1377,0.06348,0.06738,0.05566,0.08789,0.34961,0.99902,0.05078,0.04688,0.05859,0.05957,0.06445,0.05273,0.05273
0,0,0.07324,0.07617,0,0,0,0,0,0,0,0.08203,0.08008,0,0,0,0.17871,0.99902,0,0,0,0,0,0,0
0,0,0.04883,0.04395,0,0,0,0,0,0,0,0,0,0,0,0,0.00293,0.99902,0,0,0,0,0,0,0
0,0,0.04883,0.04492,0,0,0,0,0,0,0,0,0,0,0,0,0.00391,0.99902,0,0,0,0,0,0,0
0,0,0.03906,0.04395,0,0,0,0,0,0,0,0,0,0,0,0,0.00293,0.99902,0,0,0,0,0,0,0
0,0,0.04785,0.0459,0,0,0,0,0,0,0,0,0,0,0,0,0.00586,0.99902,0,0,0,0,0,0,0
0,0,0.05859,0.07422,0,0,0,0,0,0,0,0,0,0,0,0,0.01367,0.99902,0,0,0,0,0,0,0
0,0,0.0459,0.0498,0,0,0,0,0,0,0,0,0,0,0,0,0.00488,0.99902,0,0,0,0,0,0,0
0.00098,0,0.13281,0.1377,0.08203,0,0,0,0,0,0,0,0.68066,0,0,0.00098,0.99902,0.99902,0,0,0,0,0,0,0
0,0,0.06836,0.06348,0.08008,0,0,0,0,0,0,0.68066,0,0,0,0,0.02344,0.99902,0,0,0,0,0,0,0
0,0,0.06543,0.06738,0,0,0,0,0,0,0,0,0,0,0,0,0.01562,0.99902,0,0,0,0,0,0,0
0,0,0.05273,0.05566,0,0,0,0,0,0,0,0,0,0,0,0,0.00195,0.99902,0,0,0,0,0,0,0
0,0,0.09668,0.08789,0,0,0,0,0,0,0,0.00098,0,0,0,0,0.01074,0.99902,0,0,0,0,0,0,0
0.02344,0.02734,0.33789,0.34961,0.17871,0.00293,0.00391,0.00293,0.00586,0.01367,0.00488,0.99902,0.02344,0.01562,0.00195,0.01074,0,0.99902,0.00391,0.00293,0.00684,0.00488,0.00977,0.00488,0.00586
0.99902,0.99902,0.99902,0.99902,0.99902,0.99902,0.99902,0.99902,0.99902,0.99902,0.99902,0.99902,0.99902,0.99902,0.99902,0.99902,0.99902,0,0.04492,0.0498,0.05176,0.04297,0.31348,0.05273,0.06152
0,0,0.04102,0.05078,0,0,0,0,0,0,0,0,0,0,0,0,0.00391,0.04492,0,0,0,0,0,0,0
0,0,0.03906,0.04688,0,0,0,0,0,0,0,0,0,0,0,0,0.00293,0.0498,0,0,0,0,0,0,0
0,0,0.05566,0.05859,0,0,0,0,0,0,0,0,0,0,0,0,0.00684,0.05176,0,0,0,0,0,0,0
0,0,0.03516,0.05957,0,0,0,0,0,0,0,0,0,0,0,0,0.00488,0.04297,0,0,0,0,0,0,0
0,0,0.04004,0.06445,0,0,0,0,0,0,0,0,0,0,0,0,0.00977,0.31348,0,0,0,0,0,0,0
0,0,0.03711,0.05273,0,0,0,0,0,0,0,0,0,0,0,0,0.00488,0.05273,0,0,0,0,0,0,0
0,0,0.05176,0.05273,0,0,0,0,0,0,0,0,0,0,0,0,0.00586,0.06152,0,0,0,0,0,0,0
