Proportion of membership of each pre-defined population in each of the 13 clusters (STRUCTURE run 119),,,,,,,,,,,,,,,
,,Inferred Clusters,,,,,,,,,,,,,
Given Pop,Pop number,1: Red,2: Lime Green,3: Royal Blue,4: Yellow,5: Bright Purple,6: Cyan,7: Orange,8: Brown,9: Peach,10: Teal,11: Sea Green,12: Dark Purple,13: Mauve Pink,Number of Individuals
Aotea,1,0.012,0.01,0.001,0.902,0.002,0.004,0.035,0.02,0.003,0.005,0.003,0,0.003,10
Borneo,2,0.017,0.02,0.263,0.028,0.012,0.012,0.01,0.021,0.008,0.029,0.01,0.535,0.035,18
Doubtful_Sound,3,0.002,0.003,0.02,0.488,0.001,0.006,0.25,0.118,0.084,0.023,0.003,0.001,0.002,1
Great_Mercury_Island,4,0.052,0.015,0.021,0.2,0.001,0.052,0.161,0.4,0.086,0.007,0.003,0.001,0.002,1
Halmahera,5,0.006,0.021,0.358,0.004,0.009,0.003,0.005,0.003,0.005,0.009,0.009,0.564,0.004,12
Hatutaa,6,0.002,0.001,0.001,0.004,0.001,0.003,0.97,0.005,0.003,0.003,0.003,0.002,0.002,21
Honuea,7,0.992,0.001,0.001,0.001,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,20
Kaikura_Island,8,0.007,0.002,0.001,0.955,0.001,0.006,0.006,0.009,0.005,0.001,0.003,0.002,0.002,20
Kamaka,9,0.002,0.001,0.001,0.001,0.001,0.001,0.002,0.001,0.002,0.002,0.937,0.049,0.001,21
Kayangel,10,0.001,0.001,0.25,0,0.699,0,0.001,0,0.001,0.001,0.001,0.045,0.001,21
Late_Island,11,0.011,0.021,0.003,0.007,0.004,0.007,0.009,0.018,0.011,0.878,0.006,0.017,0.007,21
Mainland,12,0.001,0.002,0.587,0.001,0.02,0.001,0.001,0.001,0.001,0.001,0.001,0.384,0.001,6
Malenge,13,0.002,0.002,0.271,0.005,0.006,0.004,0.004,0.004,0.002,0.004,0.005,0.687,0.003,12
Mohotani,14,0.03,0.012,0.001,0.011,0.001,0.012,0.774,0.005,0.079,0.005,0.063,0.001,0.006,14
Motukawanui,15,0.002,0.001,0,0.005,0.001,0.007,0.002,0.974,0.002,0.001,0.001,0,0.001,21
New_Britain,16,0.009,0.023,0.034,0.011,0.007,0.003,0.039,0.01,0.004,0.176,0.006,0.67,0.007,10
New_Guinea,17,0.001,0.001,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.989,0.001,3
Normanby_Island,18,0.003,0.002,0.002,0.002,0.001,0.004,0.002,0.003,0.003,0.003,0.003,0.964,0.009,1
Rakiura,19,0.005,0.007,0.001,0.583,0.002,0.004,0.006,0.311,0.016,0.04,0.015,0,0.009,21
Reiono,20,0.009,0.002,0.003,0.002,0.001,0.007,0.004,0.003,0.945,0.012,0.007,0.001,0.004,21
Rimatuu,21,0.006,0.001,0,0.008,0.001,0.857,0.004,0.005,0.104,0.001,0.008,0,0.005,21
Slipper_Island,22,0.004,0.005,0.002,0.005,0.002,0.003,0.008,0.955,0.003,0.002,0.008,0,0.004,21
Sulawesi,23,0.004,0.003,0.901,0.004,0.007,0.004,0.004,0.004,0.006,0.003,0.003,0.053,0.005,22
Tahanea,24,0.001,0.001,0.001,0.001,0,0.001,0.001,0.001,0.001,0.001,0.001,0.012,0.977,20
Wake_Island,25,0.002,0.971,0.001,0.002,0.001,0.001,0.002,0.002,0.002,0.005,0.001,0.01,0.001,20
